,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h,target
92,Normal,Normal,Mouth close,0,1,29,-5,0
93,Normal,Head right,Mouth close,0,1,0,52,0
94,Head down,Normal,Mouth close,0,1,50,-1,0
95,Head down,Normal,Mouth open,0,1,49,-3,1
96,Normal,Normal,Mouth close,0,1,20,-11,0
97,Normal,Normal,Mouth close,0,1,10,-5,0
98,Normal,Head left,Mouth close,0,1,-3,-63,0
99,Normal,Normal,Mouth close,0,1,13,-33,0
100,Normal,Normal,Mouth close,0,1,13,-27,0
101,Normal,Head right,Mouth close,0,1,-5,53,0
102,Normal,Normal,Mouth close,0,1,-26,33,0
103,Normal,Head right,Mouth close,0,1,0,57,0
104,Normal,Normal,Mouth close,0,1,5,-44,0
105,Head up,Normal,Mouth close,0,2,-53,-10,0
106,Normal,Normal,Mouth close,0,1,-23,14,0
107,Normal,Normal,Mouth close,0,1,17,-46,0
108,Normal,Normal,Mouth close,0,1,-10,15,0
109,Normal,Head left,Mouth close,0,1,7,-50,0
110,Head down,Normal,Mouth close,0,1,76,1,0
111,Normal,Head left,Mouth close,0,1,6,-57,0
112,Normal,Normal,Mouth open,0,1,12,-33,0
113,Normal,Normal,Mouth close,0,1,18,-43,0
114,Normal,Normal,Mouth close,0,1,10,-27,0
115,Normal,Normal,Mouth close,0,1,32,-34,0
